,activeinvestors,alternateofficecount,businessstatus,companyalsoknownas,companyfinancingstatus,companyformername,companyid,companylegalname,companyname,description,employees,exchange,facebookprofileurl,financingstatusnote,firstfinancingdate,firstfinancingdealclass,firstfinancingdealtype,firstfinancingdealtype2,firstfinancingdealtype3,firstfinancingsize,firstfinancingsizestatus,firstfinancingstatus,formerinvestors,growthrate,growthratechange,growthratepercentchange,growthratepercentile,hqaddressline1,hqaddressline2,hqcity,hqcountry,hqemail,hqfax,hqglobalregion,hqglobalsubregion,hqlocation,hqphone,hqpostcode,hqstate_province,keywords,lastfinancingdate,lastfinancingdealclass,lastfinancingdealtype,lastfinancingdealtype2,lastfinancingdealtype3,lastfinancingsize,lastfinancingsizestatus,lastfinancingstatus,lastupdated,linkedinprofileurl,ownershipstatus,parentcompany,pitchbookprofilelink,primaryindustrycode,primaryindustrygroup,primaryindustrysector,sizemultiple,sizemultiplechange,sizemultiplepercentchange,sizemultiplepercentile,socialgrowthrate,socialgrowthratepercentile,socialsizemultiple,socialsizemultiplepercentile,ticker,totalraised,twitterfollowers,twitterfollowerschange,twitterfollowerspercentchange,twittergrowthrate,twittergrowthratepercentile,twitterprofileurl,twittersizemultiple,twittersizemultiplepercentile,universe,webgrowthrate,webgrowthratepercentile,website,websizemultiple,websizemultiplepercentile,wrds_src,yearfounded
10,,,Generating Revenue,Zana Project,Formerly VC-backed,,100001-08,"The Zana Project, Inc.",Zana,"Provider of an entrepreneur mentoring platform. The company is a virtual Silicon Valley incubator for entrepreneurs. It provides on-demand access to mentors, experts and peer-lead coaching, with the goal of helping entrepreneurs run a successful business.",14.0,,,"The company was acquired by Startups.co for an undisclosed amount on January 13, 2016. The company is no longer actively tracked by PitchBook.",,Other,Accelerator/Incubator,,,,,Completed,4.0,,,,,,,San Francisco,United States,,,Americas,North America,"San Francisco, CA",,,California,"incubator, mentoring, online training",2016-01-13,Corporate,Merger/Acquisition,,,,,Completed,2021-04-21,,Acquired/Merged,,https://my.pitchbook.com?c=100001-08,Educational and Training Services (B2C),Services (Non-Financial),Consumer Products and Services (B2C),,,,,,,,,,,,,,,,,,,Venture Capital,,,www.zana.io,,,vc_na,2012.0
11,1.0,1.0,Generating Revenue,,Private Equity-Backed,"Family Bancorp, San Antonio National Bank, Vantage Bank",100001-53,"Vantage Bancorp, Inc.",Vantage Bank Texas,Operator of a commercial bank intended to provide traditional banking products and services. The company's services focus on providing dedicated banking services to small and medium-sized commercial businesses by offering a full range of traditional banking products along with the technologically advanced products of larger institutions through various delivery channels.,90.0,,,A 17.83% stake in the company was acquired by Collins Family Trusts for an undisclosed amount in April 2018.,2008-01-01,Corporate,Merger/Acquisition,,,,,Completed,,-0.8,0.0,0.0,4.0,45 NorthEast Loop 410,Suite 190,San Antonio,United States,customerservice@vantage.bank,,Americas,North America,"San Antonio, TX",+1 (210) 408-5700,78216,Texas,"deposit product, depository product, loans product, sba lending, treasury product",2018-04-01,Corporate,Corporate,Corporate,,,,Completed,2021-06-08,http://www.linkedin.com/company/vantage-bank-texas,Acquired/Merged (Operating Subsidiary),Collins Family Trusts,https://my.pitchbook.com?c=100001-53,Regional Banks,Commercial Banks,Financial Services,10.89,0.0,0.0,92.0,0.0,41.0,0.0,1.0,,,1.0,0.0,0.0,0.0,41.0,https://twitter.com/VantageBankTX,0.0,1.0,"M&A, Private Equity",-1.6,3.0,www.vantage.bank,21.78,96.0,ot_na,1923.0
12,1.0,1.0,Generating Revenue,,Private Equity-Backed,"Family Bancorp, San Antonio National Bank, Vantage Bank",100001-53,"Vantage Bancorp, Inc.",Vantage Bank Texas,Operator of a commercial bank intended to provide traditional banking products and services. The company's services focus on providing dedicated banking services to small and medium-sized commercial businesses by offering a full range of traditional banking products along with the technologically advanced products of larger institutions through various delivery channels.,90.0,,,A 17.83% stake in the company was acquired by Collins Family Trusts for an undisclosed amount in April 2018.,2008-01-01,Corporate,Merger/Acquisition,,,,,Completed,,-0.8,0.0,0.0,4.0,45 NorthEast Loop 410,Suite 190,San Antonio,United States,customerservice@vantage.bank,,Americas,North America,"San Antonio, TX",+1 (210) 408-5700,78216,Texas,"deposit product, depository product, loans product, sba lending, treasury product",2018-04-01,Corporate,Corporate,Corporate,,,,Completed,2021-06-08,http://www.linkedin.com/company/vantage-bank-texas,Acquired/Merged (Operating Subsidiary),Collins Family Trusts,https://my.pitchbook.com?c=100001-53,Regional Banks,Commercial Banks,Financial Services,10.89,0.0,0.0,92.0,0.0,41.0,0.0,1.0,,,1.0,0.0,0.0,0.0,41.0,https://twitter.com/VantageBankTX,0.0,1.0,"M&A, Private Equity",-1.6,3.0,www.vantage.bank,21.78,96.0,pe_na,1923.0
13,,,Generating Revenue,Ample Capital,Corporate Backed or Acquired,,100001-62,Ample Capital Ltd,Ample Finance Group,"Provider of financial advisory services. The company offers asset management, initial public offering advise, corporate finance, advising on securities and related services in Hong Kong.",,,https://www.facebook.com/105865796444974,"The company was acquired by Universe International Holdings (OTC: 01046) for HKD 30 million on June 24, 2016. Under the terms of transaction, Honest Novel Holdings paid HKD 11.7 million in advance and will pay HKD 18.2 million in debt notes to the vendors.",2016-06-24,Corporate,Merger/Acquisition,,,3.86311921,Actual,Completed,,,,,,"Unit A, 14/F Two Chinachem Plaza",135 Des Voeux Road Central,Hong Kong,Hong Kong,ample1@amplecap.com,+852 2545 3098,Asia,East Asia,"Hong Kong, Hong Kong",+852 2545 3038,,,"financial advisory service, initial public offering, security advising",2016-06-24,Corporate,Merger/Acquisition,,,3.86311921,Actual,Completed,2021-04-21,,Acquired/Merged (Operating Subsidiary),Universe International Financial Holdings,https://my.pitchbook.com?c=100001-62,Other Financial Services,Other Financial Services,Financial Services,,,,,,,,,,,,,,,,,,,M&A,,,www.amplecap.com,,,ot_row,
14,1.0,,Generating Revenue,,Private Equity-Backed,,100001-71,"El Pollo Regio, Inc.",Pollo Regio,"Operator of a restaurant chain specializing in grilled chicken. The company's restaurant chain serves open flame-grilled chicken prepared from marinated chicken using a special recipe alongside other basic Mexican dishes, enabling customers to enjoy delicious meals.",,,https://www.facebook.com/polloregio,The company received development capital from Bravo Equity Partners on an undisclosed date.,,Private Equity,PE Growth/Expansion,,,,,Completed,,0.21,-0.03,-14.06,92.0,107 Northwest 28th,,Fort Worth,United States,,,Americas,North America,"Fort Worth, TX",+1 (817) 831-2366,76164,Texas,"grilled beef, grilled chicken, restaurant chain, restaurant food, taquitos",,Private Equity,PE Growth/Expansion,,,,,Completed,2021-06-08,http://www.linkedin.com/company/pollo-regio,Privately Held (backing),,https://my.pitchbook.com?c=100001-71,Restaurants and Bars,"Restaurants, Hotels and Leisure",Consumer Products and Services (B2C),16.02,0.13,0.83,95.0,0.52,96.0,18.91,91.0,,,5986.0,24.0,0.4,0.52,96.0,https://twitter.com/polloregio,18.91,91.0,Private Equity,-1.5,3.0,www.polloregio.com,4.55,82.0,pe_na,1995.0
15,,1.0,Generating Revenue,,Corporate Backed or Acquired,,100001-80,Newbridge Credit Union Ltd.,Newbridge Credit Union,"Owner and operator of a community based credit union. The company's services include loan facilities, savings account, saving stamps scheme and payroll deduction scheme.",,,,"The company was acquired by Permanent TSB for EUR 53.9 million on November 10, 2013. The company is no longer actively tracked by PitchBook.",2013-11-09,Corporate,Merger/Acquisition,,,,,Failed/Cancelled,,,,,,Moorefield Road,Co Kildare,Newbridge,Ireland,,,Europe,Western Europe,"Newbridge, Ireland",,,Leinster,"credit union, payroll deduction",2013-11-10,Corporate,Merger/Acquisition,,,73.31943423,Actual,Completed,2021-04-30,,Acquired/Merged,,https://my.pitchbook.com?c=100001-80,Other Capital Markets/Institutions,Capital Markets/Institutions,Financial Services,,,,,,,,,,,,,,,,,,,M&A,,,www.newbridgecu.ie,,,ot_row,1968.0
16,1.0,,Generating Revenue,,Private Equity-Backed,,100001-98,"Plaza Financial Services, Inc.",Pronto Pawn,"Provider of financing services. The company provides secured, non-recourse loans commonly referred to as pawn lawns.",,,,The company received an undisclosed amount of development capital from Bravo Equity Partners.,,Private Equity,PE Growth/Expansion,,,,,Completed,,,,,,4301 San Bernardo Avenue,,Laredo,United States,,+1 (305) 326-8128,Americas,North America,"Laredo, TX",+1 (956) 722-1019,78041,Texas,"non-recourse loans, pawn lawn",,Private Equity,PE Growth/Expansion,,,,,Completed,2021-04-07,,Privately Held (backing),,https://my.pitchbook.com?c=100001-98,Consumer Finance,Other Financial Services,Financial Services,,,,,,,,,,,,,,,,,,,Private Equity,,,,,,pe_na,1997.0
17,1.0,,Generating Revenue,Pequeno Mexico,Private Equity-Backed,,100002-07,"Pequeno Mexico Operating Company, Inc.",Pequeno Mexico Operating Company,"Operator of an entertainment and commercial venue. The company services include open-air market, authentic Mexican food court with live music, beer festivals, rodeos, weddings, live concerts and dances, car shows and corporate gatherings.",3.0,,https://www.facebook.com/pequenomexico,The company received development capital from Bravo Equity Partners on an undisclosed date.,,Private Equity,PE Growth/Expansion,,,,,Completed,,0.0,0.0,0.0,13.0,301 Commerce Street,Suite 1900,Fort Worth,United States,,,Americas,North America,"Fort Worth, TX",,76102,Texas,"commercial destination, live concerts, rodeos, special events, sporting events",,Private Equity,PE Growth/Expansion,,,,,Completed,2021-06-08,,Privately Held (backing),,https://my.pitchbook.com?c=100002-07,Hotels and Resorts,"Restaurants, Hotels and Leisure",Consumer Products and Services (B2C),0.2,0.0,0.0,14.0,,,,,,,,,,,,,,,Private Equity,0.0,10.0,www.pequenomexico.net,0.2,14.0,pe_na,2007.0
18,1.0,,Profitable,Yogurtland,Private Equity-Backed,,100002-25,"Yogurtland Franchising, Inc.",Yogurtland Franchising,"Operator of a franchise chain of frozen yogurt restaurants. The company offers delicious and healthy frozen yogurt made by proprietary recipes, milk and fresh-cut fruit without antibiotics and added hormones, thereby allowing consumers to enjoy traditional and exotic flavors and place their order online.",324.0,,https://www.facebook.com/yogurtland,The company received development capital from Bravo Equity Partners on an undisclosed date.,,Private Equity,PE Growth/Expansion,,,,,Completed,,4.22,0.13,3.15,100.0,17801 Cartwright Road,,Irvine,United States,info@yogurt-land.com,,Americas,North America,"Irvine, CA",+1 (949) 265-8000,92614,California,"dairy product, franchise chain, frozen yogurt, milk product, yogurt restaurant",,Private Equity,PE Growth/Expansion,,,,,Completed,2021-06-08,http://www.linkedin.com/company/yogurtland,Privately Held (backing),,https://my.pitchbook.com?c=100002-25,Restaurants and Bars,"Restaurants, Hotels and Leisure",Consumer Products and Services (B2C),46.58,0.18,0.38,98.0,-0.15,11.0,46.05,96.0,,,14603.0,-45.0,-0.31,-0.15,11.0,https://twitter.com/yogurtland,46.05,96.0,Private Equity,3.55,99.0,www.yogurt-land.com,88.63,99.0,pe_na,2006.0
19,,,Generating Revenue,,Corporate Backed or Acquired,,100002-34,"Acton Marketing, LLC",Acton Marketing,Provider of direct marketing services. The company offers direct mail marketing programs to financial services clients.,16.0,,,"The company was acquired by Deluxe (NYSE: DLX) for $4.095 million on August 15, 2013. The company is no longer actively tracked by PitchBook.",2013-08-15,Corporate,Merger/Acquisition,,,4.095,Actual,Completed,,,,,,3401 NothWest 39th Street,,Lincoln,United States,,,Americas,North America,"Lincoln, NE",,68524,Nebraska,"crosses selling, directing marketing, financial services marketing, rewards checking",2013-08-15,Corporate,Merger/Acquisition,,,4.095,Actual,Completed,2021-04-21,,Acquired/Merged,,https://my.pitchbook.com?c=100002-34,Media and Information Services (B2B),Commercial Services,Business Products and Services (B2B),,,,,,,,,,,,,,,,,,,M&A,,,,,,ot_na,1982.0
20,1.0,,Generating Revenue,Inovaus,Private Equity-Backed,,100002-52,"General Marketing Solutions, LLC",Inova (Product Marketing),"Operator of a product marketing company. The company commercializes products such as jewelry, computers & electronics, nutritional supplements, health & beauty, sporting equipment, clothes and accessories primarily through Spanish language television infomercials and via the internet and retail outlets.",233.0,,https://www.facebook.com/innovashop.tv,"The company received $4 million of development capital from Bravo Equity Partners on June 4, 2009.",2009-06-04,Private Equity,PE Growth/Expansion,,,4.0,Actual,Completed,,,,,,240 Crandon Boulevard,Suite 115,Key Biscayne,United States,contact@inovaus.com,,Americas,North America,"Key Biscayne, FL",+1 (305) 219-0713,33149,Florida,"jewelry, nutritional supplements, product marketing, seasonal items, sports equipment",2009-06-04,Private Equity,PE Growth/Expansion,,,4.0,Actual,Completed,2021-05-06,http://www.linkedin.com/company/innova_3,Privately Held (backing),,https://my.pitchbook.com?c=100002-52,Media and Information Services (B2B),Commercial Services,Business Products and Services (B2B),,,,,,,,,,4.0,,,,,,,,,Private Equity,,,www.inovaus.com,,,pe_na,1988.0
21,,1.0,Profitable,Ebrex,Formerly PE-Backed,Nexia Froid,100002-61,Ebrex France SAS,Ebrex France,Operator of a logistics company intended to provide freight and logistic services. The company specialises in transport and temperature-controlled logistics enabling to serve all sectors of the agri-food sector and meet the requirements of target markets.,18.0,,,"The company was acquired by Stef (PAR:STF) for an undisclosed amount on October 1, 2013. The company is no longer actively tracked by PitchBook.",2004-12-22,Private Equity,Buyout/LBO,,,,,Completed,2.0,,,,,"32, Rue Georges Guynemer",,Chevilly Larue,France,,,Europe,Western Europe,"Chevilly Larue, France",,94021,,"freight and logistic, logistics company, logistics firm, product transportation, trucking services",2013-10-01,Corporate,Merger/Acquisition,,,,,Completed,2021-04-21,,Acquired/Merged,,https://my.pitchbook.com?c=100002-61,Road,Commercial Transportation,Business Products and Services (B2B),,,,,,,,,,,,,,,,,,,Private Equity,,,www.ebrex.fr,,,ot_row,2000.0
22,,1.0,Profitable,Ebrex,Formerly PE-Backed,Nexia Froid,100002-61,Ebrex France SAS,Ebrex France,Operator of a logistics company intended to provide freight and logistic services. The company specialises in transport and temperature-controlled logistics enabling to serve all sectors of the agri-food sector and meet the requirements of target markets.,18.0,,,"The company was acquired by Stef (PAR:STF) for an undisclosed amount on October 1, 2013. The company is no longer actively tracked by PitchBook.",2004-12-22,Private Equity,Buyout/LBO,,,,,Completed,2.0,,,,,"32, Rue Georges Guynemer",,Chevilly Larue,France,,,Europe,Western Europe,"Chevilly Larue, France",,94021,,"freight and logistic, logistics company, logistics firm, product transportation, trucking services",2013-10-01,Corporate,Merger/Acquisition,,,,,Completed,2021-04-21,,Acquired/Merged,,https://my.pitchbook.com?c=100002-61,Road,Commercial Transportation,Business Products and Services (B2B),,,,,,,,,,,,,,,,,,,Private Equity,,,www.ebrex.fr,,,pe_row,2000.0
23,,,Out of Business,,Formerly PE-Backed,,100002-70,Global eFactory LLC,Global eFactory,"Provider of e-commerce services. The company offers buyers and sellers an online trading environment such as e-consumer, digital media, e-payments systems and e-commerce services.",35.0,,,The company is no longer actively in business and no longer actively tracked by PitchBook.,,Private Equity,PE Growth/Expansion,,,,,Completed,1.0,,,,,,,Austin,United States,,,Americas,North America,"Austin, TX",,,Texas,"digital media, e-payments, online trading",,Out of Business,Out of Business,,,,,Completed,2021-04-21,,Out of Business,,https://my.pitchbook.com?c=100002-70,Internet Retail,Retail,Consumer Products and Services (B2C),,,,,,,,,,,,,,,,,,,Private Equity,,,www.globalefactory.com,,,pe_na,2010.0
24,,,Generating Revenue,Crimsonwing UK,Corporate Backed or Acquired,Crimsonwing,100002-79,Crimsonwing PLC,KPMG Crimsonwing,Provider of technology consulting services. The company focuses on mobile and cloud services for international clients related to Microsoft Dynamics and e-Commerce. It also develops software incorporating their own intellectual property for industries such as print management and property lease management.,204.0,,,"The company was acquired by KPMG for EUR 26 million on February 4, 2015. The company is no longer actively tracked by PitchBook.",2015-02-04,Corporate,Merger/Acquisition,,,29.93920039,Actual,Completed,,,,,,31 Union Street,,London,United Kingdom,infouk@crimsonwing.com,,Europe,Western Europe,"London, United Kingdom",+44 (0)20 7367 4300,SE1 1SD,England,"e commerce model, microsoft dynamics ax, technology consulting service",2015-02-04,Corporate,Merger/Acquisition,,,29.93920039,Actual,Completed,2021-02-02,http://www.linkedin.com/company/crimsonwing-netherlands,Acquired/Merged,,https://my.pitchbook.com?c=100002-79,IT Consulting and Outsourcing,IT Services,Information Technology,,,,,,,,,,,,,,,,https://twitter.com/crimsonwing,,,"M&A, Publicly Listed",,,www.crimsonwing.com,,,ot_row,1996.0
25,4.0,,,,Corporation,,100002-88,Scira Offshore Energy Limited,Sheringham Shoal Offshore Wind Farm,"Operator of an offshore wind farm in England. The company operates a diamond-shaped 35 square kilometer site where the waters are comparatively shallow at between 17 to 22 meters, wind speeds are high and consistent and access is good for both construction and the ongoing operation and maintenance phases of a wind farm which comprises 88 turbines, two offshore substations, two 132 kV submarine export cables of about 22km each as well as a 21.6km onshore cable and new inland substation which generates more than 1.1TWh of net renewable electricity annually, which is sufficient to power around 220,000 homes.",16.0,,,"Statkraft sold a 40% stake in the company to The Renewables Infrastructure Group and Equitix for GBP 558 million on December 27, 2017. The asset is no longer actively tracked by PitchBook.",2005-06-29,Corporate,Joint Venture,,,,,Completed,1.0,,,,,Wind Farm Place,Edgar Road,Walsingham,United Kingdom,info@sheringhamshoal.co.uk,,Europe,Western Europe,"Walsingham, United Kingdom",+44 (0)13 2882 4370,NR22 6EJ,England,"offshore wind, renewable electricity, wind electricity, wind energy generation, wind farming",2017-12-27,Corporate,Secondary Transaction - Private,,,747.65987818,Actual,Completed,2021-04-21,http://www.linkedin.com/company/scira-offshore-energy-limited,Acquired/Merged,,https://my.pitchbook.com?c=100002-88,Energy Production,"Exploration, Production and Refining",Energy,,,,,,,,,,,,,,,,,,,M&A,,,www.sheringhamshoal.co.uk,,,ot_row,2004.0
